site	reviewer	Name of Site	dopsat amplitude	diel signal (y/n)	accept/reject/examine	Reasoning (ocean / estuary / spring / dam / other)	NOTES
nwis_03301900 	Emily B	FERN CREEK AT OLD BARDSTOWN RD AT LOUISVILLE, KY	140	y	accept		
nwis_03301940 	Emily B	NORTHERN DITCH AT OKOLONA, KY	130	y	accept		
nwis_03302030 	Emily B	POND CREEK AT PENDLETON ROAD NEAR LOUISVILLE, KY	50	y	accept		
nwis_03302050 	Emily S	BRIER CREEK AT PENDELTON ROAD NEAR LOUISVILLE, KY	120	y	accept		
nwis_03353200 	Emily S	EAGLE CREEK AT ZIONSVILLE, IN	60-160	Y	accept		
nwis_03374100 	Emily S	WHITE RIVER AT HAZLETON, IN	100-160	Y	accept		
nwis_03408500 	Emily S	NEW RIVER AT NEW RIVER, TN	80-95	Y	accept		
nwis_03409500 	Emily S	CLEAR FORK NEAR ROBBINS, TN	75-110	Y	accept		flood controlled DO 
nwis_03538830 	Emily S	OBED RIVER AT ADAMS BRIDGE NEAR CROSSVILLE, TN	80-110	Y	accept		
nwis_03539600 	Emily S	DADDYS CREEK NEAR HEBBERTSBURG, TN	85-115	Y	accept		flood controlled DO
nwis_03539778 	Emily S	CLEAR CREEK AT LILLY BRIDGE NEAR LANCING, TN	75-110	Y	accept		flood controlled DO
nwis_04027000 	Emily S	BAD RIVER NEAR ODANAH, WI	80-120	Y	accept	 	freezes in winter
nwis_04040000 	Emily S	ONTONAGON RIVER NEAR ROCKLAND, MI	80-120	Y	accept		freezes in winter (or- gaps in winter Q data); good flood recovery data
nwis_04059500 	Emily S	FORD RIVER NEAR HYDE, MI	80-120	Y	accept		freezes in winter and one winter with DO data (under ice?)-!
nwis_04067500 	Emily S	MENOMINEE RIVER NEAR MC ALLISTER, WI	60-150	Y	accept		freezes in winter, but winter DO data present- great data
nwis_04085108 	Emily S	EAST RIVER @ CNTY TRUNK HIGHWAY ZZ NR GREENLEAF,WI	50-80	Y	accept		wandering baseline of saturation; interesting 
nwis_040851385 	Emily S	FOX RIVER AT OIL TANK DEPOT AT GREEN BAY, WI	60-140	Y	accept		beautiful seasonal DO signature- textbook
